title,project_description,keywords,gse,bioproject_id,bioproject_id_cohort,paper,n_samples,notes,timepoints,time_type,doses,human_atlas,human_dataset,vaccine_type,target_pathogen,target_antigen,adjuvanted,sample_source,administration_route,sequencing,organism_name,raw_data_available,train,test,atlas,translational
Vaccine based on immune evasion mutations integrated RBD protein have broad protection against SARS-CoV-2 [mRNA-seq],"Variants of SARS-CoV-2 continue to emerge and evade immunity, resulting in breakthrough infections in vaccinated populations. Continued vaccination with vaccines based on the antigens of newly emerged variants does not necessarily result in long-lasting protection. Thus, there is an urgent need for the development of vaccines with a broad spectrum of protective effects. In this study, we selected hotspot mutations in the receptor binding domain (RBD) based on immune escape properties and integrated them into the original RBD protein to obtain a complexed RBD protein (cRBD). We designed a total of three cRBD (cRBD1-3) and thoroughly evaluated their immunological properties. Compared with the BA.1 RBD protein, the cRBDs induced higher levels and broader spectrum of neutralizing antibodies, with cRBD3 being the best performer. In vivo protective capacity of cRBDs was further validated in Balb/c mice attacked by live virus. In order to investigate the reason for the broad protective efficacy of cRBD, whole blood from mice that had completed the immunization process was subjected to RNA sequencing. Transcriptome analysis revealed that the vaccine was able to stimulate an immune response. Overall design: RNA sequencing for blood collected from Balb/c mice completed immunization process.","sarscov2, rbd, blood",GSE261311,1086470,,https://www.nature.com/articles/s41392-024-02007-8,12,NA,0//14//21//35//42//56//63,Day,,Yes,COVID-19 vax atlas,Subunit,SARS-CoV-2,RBD,vac-as03-10,Blood,?,Bulk,Mus musculus,"Only RNAseq. Request serology data, present in the paper",TRUE,FALSE,FALSE,TRUE
Identification of Biomarkers of Vaccine Reactogenicity,"Systems vaccinology approaches have been used to successfully define early signatures of the vaccine-induced immune response. However, the possibility that transcriptomics can also predict vaccine reactogenicity has not been fully explored. We have compared four licensed vaccines that have a demonstrated safety profile, as well as three agonists of TLRs that have a known inflammatory potential, to elucidate the transcriptomic profile of an acceptable response to a vaccination versus those which push the inflammatory envelope. In mice, we looked at the transcriptomic changes in the injected muscle, the lymph node that drained the muscle and the PBMC isolated from the circulating blood from the very early timepoint of 4 hours to over the period of one week. A detailed examination and comparative analysis of the transcriptome from each of these tissues, at all the timepoints of 4, 8, 24, 48, 72 and 168 hr and with these eight different vaccines, TLR or saline control injections, revealed a set of novel biomarkers that are reflective of inflammation after vaccination. These biomarkers are easily sampled and readily measurable in the peripheral blood, providing a useful tool to predict levels of reactogenicity, as a way to select candidates with acceptable immunogenicity and safety profiles. Overall design: High-quality RNA samples isolated from muscle tissue excised around the injection site, the draining medial iliac lymph nodes (MLN) and total PBMCs of mice at 4, 8, 24, 48, 72, 168 hours after the vaccination were subjected to genome-wide transcriptome analysis.","reactogenicity, pbmcs, different licensed vaccines,",GSE120661,494386,494386_HBV_VLP,https://pubmed.ncbi.nlm.nih.gov/31084714/,839,Reactogenicity,4//8//24//48//72//168,Hour,,Yes,MSigDB,VLP,HBV,Engerix (HBsAg),Alum,PBMCs,Intramuscular,Microarray,Mus musculus,"Only Microarray. Request serology data, present in the paper",TRUE,FALSE,FALSE,TRUE
Identification of Biomarkers of Vaccine Reactogenicity,"Systems vaccinology approaches have been used to successfully define early signatures of the vaccine-induced immune response. However, the possibility that transcriptomics can also predict vaccine reactogenicity has not been fully explored. We have compared four licensed vaccines that have a demonstrated safety profile, as well as three agonists of TLRs that have a known inflammatory potential, to elucidate the transcriptomic profile of an acceptable response to a vaccination versus those which push the inflammatory envelope. In mice, we looked at the transcriptomic changes in the injected muscle, the lymph node that drained the muscle and the PBMC isolated from the circulating blood from the very early timepoint of 4 hours to over the period of one week. A detailed examination and comparative analysis of the transcriptome from each of these tissues, at all the timepoints of 4, 8, 24, 48, 72 and 168 hr and with these eight different vaccines, TLR or saline control injections, revealed a set of novel biomarkers that are reflective of inflammation after vaccination. These biomarkers are easily sampled and readily measurable in the peripheral blood, providing a useful tool to predict levels of reactogenicity, as a way to select candidates with acceptable immunogenicity and safety profiles. Overall design: High-quality RNA samples isolated from muscle tissue excised around the injection site, the draining medial iliac lymph nodes (MLN) and total PBMCs of mice at 4, 8, 24, 48, 72, 168 hours after the vaccination were subjected to genome-wide transcriptome analysis.","reactogenicity, pbmcs, different licensed vaccines,",GSE120661,494386,494386_FLU_Fluad,https://pubmed.ncbi.nlm.nih.gov/31084714/,839,Reactogenicity,4//8//24//48//72//168,Hour,,Yes,MSigDB,Multiple,Influenza,"Fluad (Trivalent flu subunits – H3N2, H1N1 and influenza B MF59)",MF59,PBMCs,Intramuscular,Microarray,Mus musculus,"Only Microarray. Request serology data, present in the paper",TRUE,FALSE,FALSE,TRUE
Identification of Biomarkers of Vaccine Reactogenicity,"Systems vaccinology approaches have been used to successfully define early signatures of the vaccine-induced immune response. However, the possibility that transcriptomics can also predict vaccine reactogenicity has not been fully explored. We have compared four licensed vaccines that have a demonstrated safety profile, as well as three agonists of TLRs that have a known inflammatory potential, to elucidate the transcriptomic profile of an acceptable response to a vaccination versus those which push the inflammatory envelope. In mice, we looked at the transcriptomic changes in the injected muscle, the lymph node that drained the muscle and the PBMC isolated from the circulating blood from the very early timepoint of 4 hours to over the period of one week. A detailed examination and comparative analysis of the transcriptome from each of these tissues, at all the timepoints of 4, 8, 24, 48, 72 and 168 hr and with these eight different vaccines, TLR or saline control injections, revealed a set of novel biomarkers that are reflective of inflammation after vaccination. These biomarkers are easily sampled and readily measurable in the peripheral blood, providing a useful tool to predict levels of reactogenicity, as a way to select candidates with acceptable immunogenicity and safety profiles. Overall design: High-quality RNA samples isolated from muscle tissue excised around the injection site, the draining medial iliac lymph nodes (MLN) and total PBMCs of mice at 4, 8, 24, 48, 72, 168 hours after the vaccination were subjected to genome-wide transcriptome analysis.","reactogenicity, pbmcs, different licensed vaccines,",GSE120661,494386,494386_FLU_Agrippal,https://pubmed.ncbi.nlm.nih.gov/31084714/,839,Reactogenicity,4//8//24//48//72//168,Hour,,Yes,MSigDB,Multiple,Influenza,"Agrippal (Trivalent flu subunits – H3N2, H1N1 and influenza B)",None,PBMCs,Intramuscular,Microarray,Mus musculus,"Only Microarray. Request serology data, present in the paper",TRUE,FALSE,FALSE,TRUE
Transcriptional analysis of blood-borne immune cells induced by VSV-based vaccines: A comparison before and after immunization (house mouse),"Viral vectors are renowned for their inherent adjuvant effects. We here developed cancer vaccines based on the Vesicular Stomatitis Virus (VSV) vector using two different construction strategies.The first vaccine involved the traditional method of inserting tumor antigen genes into the VSV genome (SP vaccine). The second strategy, built upon the first, additionally displayed tumor antigens on the surface of the VSV, creating particulate antigen vaccine (CAD vaccine). To compare the early immune responses induced by these two vaccine strategies, we collected blood samples for RNA sequencing analysis at 24 hours post-immunization with both vaccines and a viral vector control group. The results indicated comparable early biological processes, including antiviral and innate immune responses, among the three groups. This confirms that the vector predominantly drives the early innate immune response. Overall design: To compare the early immune responses induced by these  VSV-based vaccines ( SP vaccine, and CAD vaccine) and  vector control, BALB/c mice were immunized with the same dosage, and blood samples were collected for RNA sequencing analysis at 24 hours before and after immunization.","VSV, balbc, blood samples, 24h",GSE280660,1179920,,,NA,NA,NA,,,Partial,,Viral vector,VSV,,no,Blood,NA,Microarray,Mus musculus,,FALSE,TRUE,FALSE,TRUE
Development of next-generation therapeutic antibodies using rapid mRNA immunization of humanized mice (house mouse),"We generated LNP-mRNAs encoding B.1.1.529 SARS-CoV-2 spike, or single transmembrane protein CD22, or GPCR GPRC5D, respectively. Those LNP-mRNAs were intramuscularly administered in a human IgG and IgK knock-in mouse. Single cell VDJ-seq unveiled the sequences of human monoclonal antibodies targeting those target antigens. Overall design: Three sets of B cells were isolated and processed from the spleen, lymph nodes, bone marrows, or peripheral blood of immunized mouse. Those B cells were subjected to scVDJ-seq, respectively.","mRNA, humanized mice, scRNAseq, VDJ, B cell sorted from PBMCs and others, sarscov2",GSE215441,890315,890315_cd22_bonemarrow,Not found,NA,NA,?,,,Yes,COVID-19 vax atlas,mRNA,SARS-CoV-2,CD22,?,Bone marrow//Lymph node//PBMCs//Spleen,Intramuscular,scRNAseq,Mus musculus,"Only scRNAseq, no serology, no paper.",TRUE,FALSE,FALSE,FALSE
Development of next-generation therapeutic antibodies using rapid mRNA immunization of humanized mice (house mouse),"We generated LNP-mRNAs encoding B.1.1.529 SARS-CoV-2 spike, or single transmembrane protein CD22, or GPCR GPRC5D, respectively. Those LNP-mRNAs were intramuscularly administered in a human IgG and IgK knock-in mouse. Single cell VDJ-seq unveiled the sequences of human monoclonal antibodies targeting those target antigens. Overall design: Three sets of B cells were isolated and processed from the spleen, lymph nodes, bone marrows, or peripheral blood of immunized mouse. Those B cells were subjected to scVDJ-seq, respectively.","mRNA, humanized mice, scRNAseq, VDJ, B cell sorted from PBMCs and others, sarscov2",GSE215441,890315,890315_spike_bonemarrow,Not found,NA,NA,?,,,Yes,COVID-19 vax atlas,mRNA,SARS-CoV-2,Spike,?,Bone marrow//Lymph node//PBMCs//Spleen,Intramuscular,scRNAseq,Mus musculus,"Only scRNAseq, no serology, no paper.",TRUE,FALSE,FALSE,FALSE
Development of next-generation therapeutic antibodies using rapid mRNA immunization of humanized mice (house mouse),"We generated LNP-mRNAs encoding B.1.1.529 SARS-CoV-2 spike, or single transmembrane protein CD22, or GPCR GPRC5D, respectively. Those LNP-mRNAs were intramuscularly administered in a human IgG and IgK knock-in mouse. Single cell VDJ-seq unveiled the sequences of human monoclonal antibodies targeting those target antigens. Overall design: Three sets of B cells were isolated and processed from the spleen, lymph nodes, bone marrows, or peripheral blood of immunized mouse. Those B cells were subjected to scVDJ-seq, respectively.","mRNA, humanized mice, scRNAseq, VDJ, B cell sorted from PBMCs and others, sarscov2",GSE215441,890315,890315_gpcr_bonemarrow,Not found,NA,NA,?,,,Yes,COVID-19 vax atlas,mRNA,SARS-CoV-2,GPCR GPRC5D,?,Bone marrow//Lymph node//PBMCs//Spleen,Intramuscular,scRNAseq,Mus musculus,"Only scRNAseq, no serology, no paper.",TRUE,FALSE,FALSE,FALSE
"Comparative transcriptomics between species attributes reactogenicity pathways induced by the capsular group B meningococcal vaccine, 4CMenB, to the membrane-bound endotoxin of its outer membrane vesicle component.","Whole blood RNA-seq was leveraged to explore gene expression changes induced in mice 24 hours after immunisation with a second dose of a licensed vaccine against capsular group B meningococcus, one of the vaccines components, or one of several comparator groups. Overall design: mRNA was profiled from RNA extracted from mouse whole blood, 5-6 samples per group, using an Illumina HiSeq4000","whole blood, meningococcus B",GSE131914,545310,,https://pubmed.ncbi.nlm.nih.gov/31551511/,59,"21 days apart (doses 1 and 2), collection on 24h post D2",24,Hour,2,Yes,Partially,Subunit,Neisseria meningitidis,"Menincococcal B (4CMenB (Bexsero®, GlaxoSmithKline)",No,Blood,Intramuscular,Bulk//scRNAseq,Mus musculus,"Only RNAseq. Request serology data, present in the paper",TRUE,FALSE,FALSE,FALSE
RNA signatures followed by immunization of multiantigenic adenovirus-based vaccine candidate against mycobacterium tuberculosis,"We here report that recombinant multiantigenic adenovirus based vaccine candidate induces immunogenicity and protective effectiveness. RNA-seq transcriptome analysis on whole blood of vaccine canddate vaccinated mice collected pre-, 1 week post-, and 4 weeks postinfection revelaed differentially expressed genes associated with immune and inflammaotry responses, especially belonging to the Wnt signaling pathway. Our results suggest that immunization with vaccine candidate promotes strong boosting effects in BCG-primed mice, presenting itself as a new vaccine candidate. Overall design: To investigate the RNA signature induced by vaccine candidate, mice were vaccinated with BCG pasteur 1173P2 via the subcutaneous route at 5-6 weeks of age, and after 10 weeks, immunized twice with vaccine candidate at 4 week intervals. Three weeks after the final immunization, mice was challeged with Mycobacterium tuberculosis H37Rv strain using a Glas-col aerosol generator. To evalute RNA signature, whole blood of mice was collected at pre-challenge, 1 week post-challenge, 4 weeks post-challenge.","adenovirus, whole blood, bcg, tuberculosis",GSE264141,1101044,,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2025.1492268/full,18,NA,0//1//4,Week,,Yes,MSigDB,Viral vector,Tuberculosis,Ag85B-ESAT6-MPT64-Rv2660c (Ad5),?,Blood,Subcutaneous//Intramuscular//Intravenous,Bulk,Mus musculus,"Only RNAseq. Request serology data, present in the paper",TRUE,FALSE,FALSE,FALSE
